Year,Pt0 name,Pt0 distance,Pt0 height,Pt0 total elevation,Pt1 name,Pt1 distance,Pt1 height,Pt1 total elevation,Pt2 name,Pt2 distance,Pt2 height,Pt2 total elevation,Pt3 name,Pt3 distance,Pt3 height,Pt3 total elevation,Pt4 name,Pt4 distance,Pt4 height,Pt4 total elevation,Pt5 name,Pt5 distance,Pt5 height,Pt5 total elevation,Pt6 name,Pt6 distance,Pt6 height,Pt6 total elevation
2024,Saint Etienne,0,493,0,Saint-Christo-en-Jarez,19.95,758,767,Sainte-Catherine,33.28,697,1167,Le Camp - Saint-Genou,48.3,619,1650,Soucieu-en-Jarrest,61.14,364,1940,Chaponost,68.57,309,2068,Lyon,82.61,174,2306
2023,Saint Etienne,0,492,0,Saint-Christo-en-Jarez,19.02,759,646,Sainte-Catherine,33.66,693,1137,Le Camp - Saint-Genou,47.1,614,1581,Soucieu-en-Jarrest,58.47,366,1844,Chaponost,65.32,310,1944,Lyon,78.28,165,2215
2022,Saint Etienne,0,492,0,Saint-Christo-en-Jarez,17.11,756,560,Sainte-Catherine,30.81,695,1020,Le Camp - Saint-Genou,44.25,614,1452,Soucieu-en-Jarrest,55.18,366,1670,Chaponost,65.97,309,1840,Lyon,78.94,165,2080
2021,Saint Etienne,0,494,0,Saint-Christo-en-Jarez,18.14,758,602,Sainte-Catherine,31.96,695,1109,Le Camp - Saint-Genou,45.01,620,1522,Soucieu-en-Jarrest,55.86,367,1736,Chaponost,65.38,310,1857,Lyon,78.3,172,2126
2019,Saint Etienne,0,493,0,Saint-Christo-en-Jarez,17.52,758,599,Sainte-Catherine,31.07,695,1058,Le Camp - Saint-Genou,40.56,611,1353,Soucieu-en-Jarrest,53.35,367,1640,Chaponost,65.02,295,1863,Lyon,76.55,174,2119
2018,Saint Etienne,0,493,0,Saint-Christo-en-Jarez,18.93,757,602,Sainte-Catherine,31.8,696,970,Le Camp - Saint-Genou,46.75,619,1461,Soucieu-en-Jarrest,60.93,367,1771,Chaponost,69.57,295,1878,Lyon,81.02,173,2114
2016,Saint Etienne,0,488,0,St Christo en Jarez,15.6,734,495,Sainte Catherine,28.2,690,804,Saint Genou,39.38,608,1141,Soucieu en Jarrest,52.16,357,1449,Chaponost,61.85,285,1591,Lyon,72.7,166,1817
2015,Parc Expo-St Etienne,0,491,0,St Christo en Jarez,15.27,751,419,Ste Catherine,27.75,693,721,St Genoux,39.95,616,1110,Soucieu en Jarrest,51.17,363,1319,Chaponost,61.25,295,1509,Lyon - H. Tony Garnier,72.08,176,1741
2014,Parc Expo-St Etienne,0,492,0,St Christo en Jarez,15.19,749,420,Ste Catherine,27.1,695,729,St Genoux,38.3,620,1096,Soucieu en Jarrest,49.33,365,1330,Chaponost,59.84,295,1538,Lyon - Gerland,71.48,166,1782
2013,Parc Expo-St Etienne,0,493,0,St Christo en Jarez,15.48,751,400,Ste Catherine,29.62,696,844,St Genoux,41.67,617,1225,Soucieu en Jarrest,54.25,365,1496,Beaunant,68.34,177,1628,Lyon - Gerland,75.91,166,1788
